"","row","rep","col","value","well"
"460","D",3,"12",0.1685,"D12"
"461","E",3,"12",0.3514,"E12"
"462","F",3,"12",0.2253,"F12"
"463","G",3,"12",0.4618,"G12"
"464","H",3,"12",0.5776,"H12"
"465","A",4,"12",0.2201,"A12"
"466","B",4,"12",0.5758,"B12"
"467","C",4,"12",0.3161,"C12"
"468","D",4,"12",0.1685,"D12"
"469","E",4,"12",0.3517,"E12"
"470","F",4,"12",0.2252,"F12"
"471","G",4,"12",0.4624,"G12"
"472","H",4,"12",0.5778,"H12"
"473","A",5,"12",0.2202,"A12"
"474","B",5,"12",0.5764,"B12"
"475","C",5,"12",0.316,"C12"
"476","D",5,"12",0.1684,"D12"
"477","E",5,"12",0.3514,"E12"
"478","F",5,"12",0.2251,"F12"
"479","G",5,"12",0.4622,"G12"
"480","H",5,"12",0.5779,"H12"
